Position,Players,PPG,RPG,APG,SPG,BPG,FGM,FGA,FG %,2PM,2PA,2PT%,3PM,3PA,3PT %,FTM,Scoring Rating,Rebound Rating,Assist Rating,Steal Rating,Block Rating,Efficiency Rating,2-Pointer Rating,3-Poimter Rating,Overall Rating
SG,Michael Redd,15.6,1,2.3,0.3,0.4,6.5,7.1,90.85%,3.5,3.3,106.06%,3,3.8,77.63%,0.7,14.4,3.63,6.61,1.88,3.5,12.5,14.5,13.86,35.44
C,Alonzo Mourning ,9.9,6.8,2.8,0.2,2.1,3.9,4.5,88.44%,3.5,3.7,95.90%,0.4,0.8,52.00%,0.8,9.37,16.97,11.03,2.12,10.61,7.58,10.63,1.95,35.13
PG,Steve Nash,8.2,1.3,8.5,3.4,0.1,3.2,3.6,87.39%,1.5,1.6,92.45%,1.7,2,83.33%,0.1,6.97,5.33,21.21,16.97,0.91,6.06,4.29,8.27,35.01
C,Bob McAdoo,9.5,5.6,3.8,0.3,1.5,4.4,5.2,84.72%,3.9,4.4,89.64%,0.5,0.8,58.33%,0.5,8.23,13.92,15,3.18,7.5,8.48,11.01,2.65,34.99
PF,Kenyon Martin,12.8,3.9,3.6,0.3,0.5,5.5,7,83.33%,4.4,5.7,77.52%,1.1,1.4,82.61%,0.6,10.95,11.21,13.05,2.63,3.13,10.58,10.61,7.71,34.93
SG,Jerry Sloan,13.7,2,4.3,0.6,0.7,5.2,7,74.19%,2.3,3.4,68.92%,2.9,3.7,79.01%,0.4,10.17,7.41,12.41,3.69,5.97,10.05,6.24,13.68,34.82
SG,Manu Ginobili,12.7,2.2,3.4,1.6,0.1,4.8,5.5,86.34%,2.5,2.7,92.59%,2.3,2.8,81.03%,0.8,11.46,7.98,9.78,10,0.88,9.23,9.04,11.09,34.73
PG,Dejounte Murray,8.5,1.77,6.23,3.3,0.17,3.63,3.9,93.16%,2.3,2.37,97.18%,1.33,1.53,86.96%,0.13,7.72,7.07,15.58,16.5,1.67,6.99,6.99,6.9,34.71
SG,Corey Kispert,13.4,2.5,3,1.1,0.3,5,6,83.42%,1.9,2.2,86.36%,3.1,3.8,81.60%,0.2,10.92,9.06,8.63,6.88,2.63,9.62,6.41,15.06,34.59
PF,Raef Lafrentz,9.9,6.5,2.9,0.1,1.2,4.4,5,83.02%,3.8,4.3,88.37%,0.6,0.7,85.71%,0.3,8.26,18.69,10.51,0.88,7.5,8.46,10.49,4.29,34.54
PF,Shawn Marion,10.3,5,2.6,0.3,1,4.7,5,90.97%,3.7,3.8,98.68%,1,1.2,79.41%,0.3,9.3,14.38,9.43,2.63,6.25,9.04,11.53,6.35,34.45
C,Ben Wallace,10.5,5.1,2.4,0.4,1.1,4.5,4.6,97.17%,3.9,4,97.50%,0.6,0.6,92.86%,1,10.99,12.75,9.6,4,5.5,8.65,11.88,5.31,34.34
SF,Josh Smith,13,4,3,0.4,0.7,5,6.5,77.33%,3.2,3.8,84.09%,1.8,2.7,67.74%,0.9,10.68,13,9.75,3.26,4.89,9.7,8.45,8.84,34.29
PG,Deron Williams,8.5,1.7,6.5,3,0.4,3.2,3.9,82.09%,1.5,1.6,93.75%,1.7,2.3,74.36%,0.4,7.16,6.8,16.25,15,4,6.15,5.49,7.52,34.19
PF,Hedo Turkoglu,8.7,2.8,4,1.6,0.6,3.4,4.4,77.87%,1.7,1.9,89.47%,1.7,2.5,68.57%,0.3,6.84,8.05,14.5,14,3.75,6.54,4.75,9.71,34.07
SF,Matisse Thybulle,8.3,3,2.7,1.2,1.5,3.2,3.5,89.66%,1.2,1.4,91.11%,1.9,2.2,88.73%,0.1,7.15,9.75,8.77,9.32,11.14,6.06,3.54,12.1,33.91
SG,Gerald Green,16,1.3,2,1,0.4,5.8,7.4,79.10%,2.3,3.2,71.88%,3.5,4.2,82.86%,0.5,12.7,4.71,5.75,6.25,3.5,11.15,6.46,17.26,33.89
SF,Andre Iguodala ,12.5,2.7,3,0.5,0.7,4.9,5.9,83.10%,2.8,3.3,83.19%,2.2,2.6,82.98%,0.5,10.52,8.76,9.84,3.54,5.42,9.46,7.15,12.84,33.76
C,Willis Reed,11.6,5,2.3,0.5,1.1,5.3,6.4,79.10%,4.8,5.5,87.59%,0.5,0.9,54.55%,0.3,9.17,12.5,9.2,5,5.5,10.19,13.14,2.6,33.65
SF,Caron Butler,13,2.6,3,0.7,0.3,5,6.1,82.64%,2.4,2.9,82.76%,2.6,3.2,80.95%,0.3,10.63,8.45,9.75,5.25,2.25,9.62,6.21,15.03,33.59
SG,Kevin Porter Jr.,12,1.9,4.6,1.2,0.4,4.5,6,79.43%,1.8,2.7,67.91%,2.7,3.3,80.58%,0.3,9.47,6.89,13.23,7.5,3.5,8.65,4.83,12.85,33.46
PF,Davis Bertans,10,3.9,2.8,0.3,1.1,3.8,4.1,91.38%,1.9,2,96.43%,1.9,2.1,86.67%,0.4,9.17,11.19,10.1,2.81,7.14,7.28,5.81,13.41,33.46
PF,Sekou Doumbouya,10.4,4.6,2.1,0.3,1.2,4.1,4.7,87.66%,2.2,2.3,95.65%,1.9,2.4,78.75%,0.2,8.95,13.23,7.61,2.63,7.5,7.88,6.58,12.47,33.42
SF,Khris Middleton,13.6,2.5,1.9,0.7,0.2,4.9,5.7,85.60%,1.3,1.4,92.19%,3.6,4.3,83.42%,0.3,11.46,8.23,6.07,5,1.5,9.4,3.78,21.32,33.38
C,Wes Unseld,6.9,2.2,3.6,2.3,0.1,2.8,4,74.29%,1.5,2.4,63.18%,1.3,1.6,80.00%,0.1,5.03,5.5,14.4,23,0.5,5.38,2.98,9.83,33.31
C,Nate Thurmond,9.1,5.7,2.3,0.8,1.4,4.2,4.9,84.97%,4,4.6,87.58%,0.2,0.3,50.00%,0.6,8.08,14.29,9.03,8.29,7,8.08,11.03,0.82,33.3
PF,Jaren Jackson Jr.,9.8,5.9,2.9,0.1,1.5,4.1,5,81.03%,3.4,3.9,87.18%,0.7,1.1,57.69%,0.6,8.33,16.96,10.51,0.88,9.38,7.88,9.26,3.37,33.28
PF,Antoine Walker,12.8,3.1,2.4,0.2,0.6,5.1,5.9,86.09%,2.6,2.8,92.86%,2.5,3.1,80.83%,0.2,10.76,10.08,7.8,1.5,4.5,9.81,7.54,14.43,33.21
C,James Wiseman,9.3,5.8,2.6,0.4,2.1,3.9,5.1,77.32%,3.4,4.4,77.25%,0.6,0.7,77.78%,0.3,7.23,14.47,10.42,3.68,10.39,7.59,8.19,4.09,33.04
SF,Chris Mullin,12.6,2.5,2.5,0.3,0.4,4.7,5.2,89.53%,1.6,1.7,94.12%,3.1,3.5,88.70%,0.3,11.14,8.13,8.13,2.25,3,9.04,4.71,19.64,33.01
SF,R.J Barrett,11.7,1.7,3,1,0.3,4.7,5.4,86.29%,2,2,100.00%,2.7,3.4,80.77%,0.4,10.13,5.53,9.75,7.5,2.25,9.04,6.25,15.58,33.01
