Rank,Position,Players,GP%,PPG,O.RPG,RPG,APG,SPG,BPG,TOPG,FGM,FGA,FG%,3PM,3PA,3PT %,TS%,FTR,Game Score
62,PF,Saddiq Bey,97.50%,9.1,0.4,4.9,2.7,0.3,0.6,0.1,3.8,5,75.33%,2.3,3.4,67.96%,87.71%,0.13,16.5
63,C,Jericho Sims,100.00%,7,2,7.7,1.7,0.4,3,0.1,3.4,3.7,91.78%,0.1,0.1,100.00%,87.92%,0.2,16.46
64,PG,Bruce Brown,100.00%,8.2,0.2,2.1,3.4,1.1,0.5,0.1,3.3,4.3,76.92%,1.7,2.5,65.79%,94.30%,0,16.13
65,PF,Gus Gerard,100.00%,9,0.4,2.8,2.6,0.1,0.2,0.1,3.4,4.4,77.98%,2.1,3,69.33%,95.76%,0.24,16.01
66,SF,Rui Hachimura,100.00%,8.5,0.4,5.4,2,0.2,0.7,0,3.4,4.5,75.00%,1.4,2.3,61.43%,87.02%,0.23,15.97
67,SG,Tyler Herro,100.00%,9.2,0,1,2.2,0.7,0.4,0,3.6,4.7,76.34%,1.9,2.8,66.07%,92.38%,0.2,15.66
68,SF,Robert Covington,100.00%,9.7,0.1,2.1,1.8,0.3,0.1,0.1,3.5,4.9,72.60%,2.3,3.5,65.09%,93.50%,0.2,15.45
69,PF,Kyle Anderson,96.00%,7.5,0.3,4.2,3.9,0.4,1.3,0.2,2.9,3.9,75.27%,1.8,2.6,69.35%,94.05%,0.08,15.27
70,PF,Nat Clifton,100.00%,9,0.1,2.8,2,0.3,0.5,0,3.7,4.4,82.88%,1,1.4,72.22%,87.84%,0.48,15.23
71,SG,Morris Peterson,100.00%,9.9,0.1,1.6,2.7,0.6,0.2,0.2,3.8,5.7,67.26%,2.1,3.5,60.71%,85.32%,0.08,14.99
72,SF,Jalen Williams,100.00%,10.3,0.1,1.9,1.7,0.5,0.2,0.1,4.2,5.2,80.19%,1.7,2.4,70.53%,93.57%,0.2,14.91
73,SG,Monta Ellis,100.00%,7.4,0.1,1.4,3.4,1.1,0.1,0.1,3,4.2,72.80%,1.4,2.2,63.64%,86.90%,0.07,14.77
74,SF,Lonnie Walker IV,100.00%,8.1,0,2.1,2.6,0.7,0.2,0.2,3,3.9,77.78%,1.9,2.7,70.73%,99.03%,0.13,14.62
75,C,Andre Drummond,70.00%,10.6,1.8,9.1,2.1,0.2,4.2,0.2,4.9,5.4,91.05%,0,0.1,50.00%,84.26%,0.6,14.57
76,PG,Jalen Suggs,100.00%,5.5,0.1,1.8,5,1.4,0.4,0.2,2.2,3.2,70.53%,1,1.8,55.56%,82.20%,0.1,14.45
77,PF,Terry Cummings,100.00%,7.2,0.4,4,2.5,0.4,0.4,0.1,2.6,3.8,69.50%,1.6,2.6,64.21%,94.32%,0,14.35
78,C,Jonas Valanciunas,100.00%,6.2,1.5,6.3,2,0,2.6,0.1,2.6,3.1,85.71%,0.4,0.7,61.11%,88.63%,0.28,14.25
79,PF,Maurice Lucas,72.00%,9.9,1.3,6.2,3.7,0.5,0.6,0.2,4,4.6,85.61%,0.9,1.2,80.00%,105.41%,0.03,14.18
80,PG,Brandon Knight,100.00%,5.5,0.2,2,5.1,0.8,0.1,0.1,2.2,3,75.28%,1,1.6,65.96%,92.81%,0,13.91
81,SF,Josh Jackson,100.00%,7.8,0.1,2.2,2.1,0.4,0.4,0.1,2.9,3.8,77.19%,1.7,2.5,68.92%,96.60%,0.17,13.86
